,N1,N0,NEG,,P1,P0,POS,cv,rcv,ndvi,ndsi
neg2400,295,5174,0.946059609,pos2400,1645,183,0.899890591,1.5,2.5,0.25,0.5
neg2300,302,5167,0.944779667,pos2300,1645,183,0.899890591,1.5,2,0.25,0.5
neg2200,366,5103,0.933077345,pos2200,1645,183,0.899890591,1.5,1.5,0.25,0.5
neg1400,374,5095,0.931614555,pos1400,1645,183,0.899890591,1,2.5,0.25,0.5
neg2000,383,5086,0.929968916,pos2000,1645,183,0.899890591,1.5,0.75,0.25,0.5
neg2100,383,5086,0.929968916,pos2100,1645,183,0.899890591,1.5,1,0.25,0.5
neg1300,384,5085,0.929786067,pos1300,1645,183,0.899890591,1,2,0.25,0.5
neg0400,409,5060,0.925214847,pos0400,1645,183,0.899890591,0.75,2.5,0.25,0.5
neg0300,437,5032,0.920095081,pos0300,1645,183,0.899890591,0.75,2,0.25,0.5
neg1200,765,4704,0.86012068,pos1200,1645,183,0.899890591,1,1.5,0.25,0.5
neg0200,866,4603,0.841652953,pos0200,1645,183,0.899890591,0.75,1.5,0.25,0.5
neg1100,1151,4318,0.78954105,pos1100,1645,183,0.899890591,1,1,0.25,0.5
neg1000,1152,4317,0.789358201,pos1000,1645,183,0.899890591,1,0.75,0.25,0.5
neg0100,1412,4057,0.741817517,pos0100,1645,183,0.899890591,0.75,1,0.25,0.5
neg0000,1413,4056,0.741634668,pos0000,1645,183,0.899890591,0.75,0.75,0.25,0.5
neg3400,218,5251,0.960138965,pos3400,1643,185,0.898796499,2,2.5,0.25,0.5
neg3300,219,5250,0.959956116,pos3300,1643,185,0.898796499,2,2,0.25,0.5
neg3200,275,5194,0.949716584,pos3200,1643,185,0.898796499,2,1.5,0.25,0.5
neg3000,286,5183,0.947705248,pos3000,1643,185,0.898796499,2,0.75,0.25,0.5
neg3100,286,5183,0.947705248,pos3100,1643,185,0.898796499,2,1,0.25,0.5
neg4300,62,5407,0.988663375,pos4300,1637,191,0.895514223,2.5,2,0.25,0.5
neg4400,62,5407,0.988663375,pos4400,1637,191,0.895514223,2.5,2.5,0.25,0.5
neg4200,64,5405,0.988297678,pos4200,1637,191,0.895514223,2.5,1.5,0.25,0.5
neg4000,65,5404,0.988114829,pos4000,1637,191,0.895514223,2.5,0.75,0.25,0.5
neg4100,65,5404,0.988114829,pos4100,1637,191,0.895514223,2.5,1,0.25,0.5
neg2401,280,5189,0.94880234,pos2401,1629,199,0.891137856,1.5,2.5,0.25,0.75
neg2301,287,5182,0.947522399,pos2301,1629,199,0.891137856,1.5,2,0.25,0.75
neg2201,351,5118,0.935820077,pos2201,1629,199,0.891137856,1.5,1.5,0.25,0.75
neg1401,358,5111,0.934540135,pos1401,1629,199,0.891137856,1,2.5,0.25,0.75
neg1301,368,5101,0.932711647,pos1301,1629,199,0.891137856,1,2,0.25,0.75
neg2001,368,5101,0.932711647,pos2001,1629,199,0.891137856,1.5,0.75,0.25,0.75
