ID,B2,B3,B4,B5,B6,B7,Class,nbr,ndsi,ndvi,Season
1_1_0_0,0.105347686,0.093050316,0.07157226,0.35117936,0.20207073,0.11342241,ag,0.51174355,-0.36940914,0.66139805,1
1_1_0_1,0.10593198,0.09279784,0.07123569,0.3511837,0.20450574,0.11556664,ag,0.5048032,-0.37573683,0.6627253,1
1_1_0_2,0.10642305,0.09223685,0.07269852,0.34116232,0.20901819,0.12211569,ag,0.47281897,-0.38764942,0.64868134,1
1_1_0_3,0.10594109,0.0920022,0.072203934,0.34056553,0.20420808,0.11677967,ag,0.48931497,-0.3788048,0.65014887,1
1_1_0_4,0.10564004,0.09221415,0.072802976,0.34250954,0.20091295,0.11155783,ag,0.5086287,-0.3708248,0.6494063,1
1_1_0_5,0.10564004,0.09221415,0.072802976,0.34250954,0.20091295,0.11155783,ag,0.5086287,-0.3708248,0.6494063,1
1_1_0_6,0.105967045,0.093375936,0.07324439,0.33768684,0.20442319,0.11511774,ag,0.49153453,-0.37289315,0.64351994,1
1_1_0_7,0.10448782,0.09211227,0.07204121,0.3632723,0.200164,0.102480605,ag,0.55993575,-0.3696904,0.6690146,1
1_1_0_8,0.107969634,0.09557682,0.07637503,0.3711339,0.21835756,0.11310154,ag,0.53286546,-0.39110318,0.6586659,1
1_1_0_9,0.1049563,0.0933447,0.07305768,0.36716938,0.20479125,0.10571799,ag,0.552883,-0.37381116,0.66809094,1
1_1_0_10,0.1049563,0.0933447,0.07305768,0.36716938,0.20479125,0.10571799,ag,0.552883,-0.37381116,0.66809094,1
1_1_0_11,0.105752334,0.094018795,0.07381944,0.347874,0.20945019,0.112036996,ag,0.51278836,-0.38037294,0.6498905,1
1_1_0_12,0.10583216,0.09352954,0.07275976,0.35035786,0.20724362,0.11292736,ag,0.51249313,-0.3780726,0.65607786,1
1_1_0_13,0.106009156,0.09290158,0.07300192,0.35254797,0.20803013,0.114816844,ag,0.5086629,-0.3825737,0.6569055,1
1_1_0_14,0.106009156,0.09290158,0.07300192,0.35254797,0.20803013,0.114816844,ag,0.5086629,-0.3825737,0.6569055,1
1_1_0_15,0.10463666,0.091503814,0.06863508,0.35785383,0.20054522,0.109751016,ag,0.5305822,-0.37336677,0.678139,1
1_1_0_16,0.104627565,0.0917684,0.068949535,0.35262442,0.19992161,0.109249055,ag,0.5269308,-0.37078133,0.6728947,1
