ID,Index,cv,mode,nbr,ndsi,ndvi,rcvmax
1_51_0,0,746721,82,-0.02348931,-0.006027791,0.05761025,0.09258269
1_51_1,0,746721,82,-0.02348931,-0.006027791,0.05761025,0.09258269
1_51_2,0,7900072,82,0.047480658,0.0734435,-0.012764159,1.035045024
1_51_3,0,8052127,82,0.037807696,0.05892036,-0.007901525,0.993161461
1_51_4,0,8511470,82,0.045853235,0.06243101,0.001164188,1.035765411
1_51_5,0,8902528,82,0.06197712,0.07770342,-0.002804103,1.10847472
1_51_6,0,8438377,82,0.046835564,0.07969789,-0.007605002,1.071099091
1_51_7,0,8438377,82,0.046835564,0.07969789,-0.007605002,1.071099091
1_51_8,0,8197096,82,0.049733564,0.052156333,0.016038889,0.997035291
1_51_9,0,7372943,82,0.066529825,0.054258987,0.02113432,0.933022221
1_51_10,0,7284699,82,0.07624544,0.053413384,0.015129874,0.949254518
1_51_11,0,7284699,82,0.07624544,0.053413384,0.015129874,0.949254518
1_51_12,0,6458330,82,0.1103233,0.055702165,0.047209986,0.843010921
1_51_13,0,6410878,82,0.11656799,0.04651818,0.07478941,0.818004324
1_51_14,0,5696952,82,0.08463457,0.048373356,0.048837777,0.714175165
1_51_15,0,5261182,82,0.06271449,0.018519709,0.04431919,0.638679536
1_51_16,0,5261182,82,0.06271449,0.018519709,0.04431919,0.638679536
1_51_17,0,5385076,82,0.058789205,0.038410038,0.0464182,0.67176249
1_51_18,0,5051863,82,0.044278964,0.0321706,0.029311663,0.651429936
1_51_19,0,4986103,82,0.042896785,0.014655929,0.082492866,0.632227469
1_51_20,0,4986103,82,0.042896785,0.014655929,0.082492866,0.632227469
1_51_21,0,5038366,82,0.052701678,0.02086887,0.08187736,0.659908023
1_51_22,0,5683714,82,0.042828802,0.01462781,0.08018796,0.729694745
1_51_23,0,6190261,82,0.041586038,0.04378351,0.03407107,0.823239893
1_51_24,0,5478650,82,0.029917395,0.016457148,0.036708068,0.671679904
1_51_25,0,5478650,82,0.029917395,0.016457148,0.036708068,0.671679904
1_51_26,0,4601332,82,-0.013645588,-0.002404275,0.058351,0.532817495
1_51_27,0,3738387,82,-0.019238284,0.008003977,0.048907537,0.456245057
1_51_28,0,3302723,82,-0.045527104,-0.028135493,0.0440873,0.38068333
1_51_29,0,3302723,82,-0.045527104,-0.028135493,0.0440873,0.38068333
1_51_30,0,2151356,82,-0.035480563,-0.025109276,0.073960565,0.252115673
1_51_31,0,4579145,82,0.027527608,0.016031936,0.07636984,0.66872209
1_51_32,0,4544354,82,0.02556026,0.014124911,0.09241321,0.643991558
1_51_33,0,4544354,82,0.02556026,0.014124911,0.09241321,0.643991558
1_51_34,0,5434928,82,0.061538797,0.02330553,0.08055718,0.77197228
1_51_35,0,5855794,82,0.07828731,0.042710237,0.06552318,0.860357157
1_51_36,0,6786421,82,0.072186664,0.049226128,0.038809013,0.929125808
1_51_37,0,7136004,82,0.05923478,0.06326477,0.011783686,0.958109026
1_51_38,0,7136004,82,0.05923478,0.06326477,0.011783686,0.958109026
1_51_39,0,7608836,82,0.036182698,0.044094544,0.011889854,0.930597808
1_51_40,0,7984413,82,0.050317466,0.062129322,-0.013748795,1.035381096
1_51_41,0,7900072,82,0.047480658,0.0734435,-0.012764159,1.035045024
1_51_42,0,8383007,82,0.04523813,0.07577246,-0.002169782,1.028778708
1_51_43,0,8044327,82,0.014089122,0.04309671,-0.019136142,0.943191615
1_51_44,0,8784015,82,0.048361674,0.054941382,0.010219637,1.029512743
1_51_45,0,1.00E+07,82,0.09808552,0.09758869,-0.003632933,1.204585931
1_51_46,0,9281164,82,0.06632951,0.077230364,-0.008001316,1.102173525
1_51_47,0,9281164,82,0.06632951,0.077230364,-0.008001316,1.102173525
1_51_48,0,8838530,82,0.05781106,0.06630044,0.011837307,1.042805154
1_51_49,0,7801211,82,0.07487441,0.062305503,0.005283102,0.981558767
1_51_50,0,7349326,82,0.091892175,0.050669562,0.052314803,0.940256482
1_51_51,0,7349326,82,0.091892175,0.050669562,0.052314803,0.940256482
1_51_52,0,6532739,82,0.10221496,0.06180316,0.041206535,0.855517963
1_51_53,0,6392375,82,0.0937467,0.050741497,0.046620645,0.806156609
1_51_54,0,6172829,82,0.10272103,0.04672763,0.052323326,0.757690953
1_51_55,0,6337783,82,0.10990345,0.054899216,0.0477014,0.791721359
1_51_56,0,6337783,82,0.10990345,0.054899216,0.0477014,0.791721359
1_51_57,0,6214024,82,0.10282939,0.070172,0.05746887,0.80385535
1_51_58,0,5626568,82,0.086644255,0.05375726,0.056355808,0.731959452
1_51_59,0,5592516,82,0.08595369,0.026909329,0.08630302,0.731169009
1_51_60,0,5592516,82,0.08595369,0.026909329,0.08630302,0.731169009
1_51_61,0,5771925,82,0.10615139,0.03299616,0.09240273,0.775761463
1_51_62,0,6414017,82,0.08181876,0.042704098,0.08356335,0.862767909
1_51_63,0,6869279,82,0.06721533,0.05789924,0.029270213,0.916830991
1_51_64,0,5908839,82,0.031094749,0.036241096,0.004950961,0.73578858
1_51_65,0,5908839,82,0.031094749,0.036241096,0.004950961,0.73578858
1_51_66,0,5223390,82,0.024977865,0.023639863,0.042639297,0.659665286
1_51_67,0,4147272,82,0.01428158,0.017547177,0.04738663,0.535673225
1_51_68,0,3819599,82,-7.39E-04,0.004733619,0.05898048,0.477310099
1_51_69,0,3819599,82,-7.39E-04,0.004733619,0.05898048,0.477310099
1_51_70,0,4664750,82,0.032167397,0.01498392,0.07216088,0.684862963
1_51_71,0,4659622,82,0.023184573,0.021468472,0.084774345,0.662044081
1_51_72,0,4659622,82,0.023184573,0.021468472,0.084774345,0.662044081
1_51_73,0,5536902,82,0.05812708,0.036743134,0.069912635,0.790348739
1_51_74,0,5789951,82,0.055731826,0.048999492,0.053423505,0.827704864
1_51_75,0,7221357,82,0.06704275,0.054653447,0.018523743,0.954256722
1_51_76,0,6692012,82,0.02458182,0.034732066,0.006260281,0.849062094
1_51_77,0,6692012,82,0.02458182,0.034732066,0.006260281,0.849062094
1_51_78,0,7979891,82,0.044799056,0.04464984,0.01643438,0.944674416
1_51_79,0,8393399,82,0.056742053,0.06314564,-0.007371609,1.052394288
1_51_80,0,8383007,82,0.04523813,0.07577246,-0.002169782,1.028778708
1_51_81,0,7637821,82,0.065656565,0.070484646,-0.010512242,0.902506877
1_51_82,0,7276819,82,0.05164741,0.06041453,-0.006724792,0.851647878
1_51_83,0,8954167,82,0.068466775,0.06675114,4.33E-04,1.041883927
1_51_84,0,1.05E+07,82,0.12690654,0.11247721,-0.001169075,1.237028606
1_51_85,0,1.01E+07,82,0.06908545,0.062624425,-0.005766015,1.124461401
1_51_86,0,1.01E+07,82,0.06908545,0.062624425,-0.005766015,1.124461401
1_51_87,0,9240259,82,0.042941812,0.06425905,-8.14E-04,1.067736462
1_51_88,0,7951592,82,0.075570054,0.071985245,0.01428423,0.986099087
1_51_89,0,7065356,82,0.05356944,0.027387485,0.02622216,0.862965387
1_51_90,0,7065356,82,0.05356944,0.027387485,0.02622216,0.862965387
1_51_91,0,6349611,82,0.101068646,0.054821875,0.037448175,0.812651777
1_51_92,0,6455197,82,0.10748952,0.052715644,0.056356445,0.79554219
1_51_93,0,6515404,82,0.10468775,0.05639057,0.059937086,0.803976088
1_51_94,0,6771728,82,0.11664213,0.06288926,0.041590925,0.860551552
1_51_95,0,6771728,82,0.11664213,0.06288926,0.041590925,0.860551552
1_51_96,0,6604758,82,0.09862083,0.049396593,0.054323856,0.834752048
1_51_97,0,6233091,82,0.09575952,0.04273158,0.071712,0.794255897
1_51_98,0,6412774,82,0.05182185,0.019916672,0.048015818,0.822413477
1_51_99,0,6412774,82,0.05182185,0.019916672,0.048015818,0.822413477
1_51_100,0,6290714,82,0.053069822,0.015123289,0.04814978,0.823819429
1_51_101,0,7488388,82,0.035776623,0.03932004,0.03493998,0.960937439
1_51_102,0,8052598,82,0.026393821,0.043596357,0.00937927,0.981744688
1_51_103,0,7204464,82,-0.016987074,0.019329837,0.00326635,0.828863701
1_51_104,0,7204464,82,-0.016987074,0.019329837,0.00326635,0.828863701
1_51_105,0,6918220,82,0.011755669,0.012352824,0.03701211,0.83312335
1_51_106,0,5875866,82,-0.014910044,0.016764108,0.014256414,0.73965696
1_51_107,0,5374507,82,-0.04249964,-0.00337664,0.027367547,0.638564184
1_51_108,0,5374507,82,-0.04249964,-0.00337664,0.027367547,0.638564184
1_51_109,0,4775402,82,0.056972608,0.030056408,0.08171351,0.669658147
1_51_110,0,4775402,82,0.056972608,0.030056408,0.08171351,0.669658147
1_51_111,0,5299899,82,0.075974,0.040959973,0.06889689,0.74279212
1_51_112,0,5699815,82,0.07228401,0.06492545,0.034833007,0.805469091
1_51_113,0,6764487,82,0.085349225,0.07881225,-0.001451503,0.89643215
1_51_114,0,6132057,82,0.04997724,0.059108753,0.006903684,0.777247319
1_51_115,0,6132057,82,0.04997724,0.059108753,0.006903684,0.777247319
1_51_116,0,8000927,82,0.10200549,0.09172021,0.005365544,0.977022735
1_51_117,0,7684289,82,0.07487076,0.07773728,-0.026739465,0.941979345
1_51_118,0,7637821,82,0.065656565,0.070484646,-0.010512242,0.902506877
1_51_119,0,7150062,82,0.044343334,0.048969045,-0.005632064,0.813982781
1_51_120,0,7805272,82,0.06948246,0.06591987,0.003998024,0.889640675
1_51_121,0,9613788,82,0.09063617,0.085728794,0.002128808,1.122762765
1_51_122,0,1.03E+07,82,0.13615856,0.11324817,1.21E-04,1.271854689
1_51_123,0,1.06E+07,82,0.092137545,0.09307972,-0.002933011,1.215727811
1_51_124,0,1.06E+07,82,0.092137545,0.09307972,-0.002933011,1.215727811
1_51_125,0,9546115,82,0.051521543,0.069426246,9.83E-04,1.090645691
1_51_126,0,8430260,82,0.09943391,0.081007265,0.015499695,1.049943023
1_51_127,0,7476265,82,0.05918802,0.04245395,0.011420573,0.916749594
1_51_128,0,7476265,82,0.05918802,0.04245395,0.011420573,0.916749594
1_51_129,0,6574111,82,0.10741964,0.058894288,0.044395875,0.822152557
1_51_130,0,6329532,82,0.106946915,0.04783052,0.06662752,0.774198135
1_51_131,0,6656701,82,0.11111008,0.058400057,0.048193444,0.832798493
1_51_132,0,7022783,82,0.13488841,0.0650645,0.056042127,0.879029914
1_51_133,0,7022783,82,0.13488841,0.0650645,0.056042127,0.879029914
1_51_134,0,6786878,82,0.09533808,0.062267404,0.038418125,0.859444163
1_51_135,0,6505295,82,0.09615466,0.04989741,0.049531206,0.835540926
1_51_136,0,6761755,82,0.0669785,0.028709771,0.050677553,0.876691472
1_51_137,0,6761755,82,0.0669785,0.028709771,0.050677553,0.876691472
1_51_138,0,6560842,82,0.0595036,0.039200023,0.028554752,0.889523437
1_51_139,0,7834754,82,0.038884707,0.058065426,0.004539345,1.025401061
1_51_140,0,8495876,82,0.029614516,0.0497656,-0.006578445,1.019695262
1_51_141,0,7420529,82,0.005890124,0.027983472,0.01525386,0.879484273
1_51_142,0,7420529,82,0.005890124,0.027983472,0.01525386,0.879484273
1_51_143,0,7239978,82,0.046182197,0.026473178,0.049527645,0.911511985
1_51_144,0,6042067,82,-5.13E-04,0.02884326,0.014738927,0.786747764
1_51_145,0,5583514,82,-0.024163919,0.003528471,0.045314126,0.669489361
1_51_146,0,5583514,82,-0.024163919,0.003528471,0.045314126,0.669489361
1_51_147,0,5114667,82,0.054863002,0.036313362,0.057825517,0.698656255
1_51_148,0,5114667,82,0.054863002,0.036313362,0.057825517,0.698656255
1_51_149,0,5416531,82,0.06546317,0.05267104,0.06146074,0.75441077
1_51_150,0,6312612,82,0.086186804,0.08694556,0.032172445,0.872253723
1_51_151,0,6769361,82,0.07136041,0.07602167,0.006291559,0.860820385
1_51_152,0,6769361,82,0.07136041,0.07602167,0.006291559,0.860820385
1_51_153,0,6734236,82,0.057782367,0.07166987,6.87E-04,0.821952312
1_51_154,0,8477825,82,0.1025966,0.09516408,-0.016925437,1.027565194
1_51_155,0,7384593,82,0.058959674,0.068577215,-0.013024012,0.881656424
1_51_156,0,7150062,82,0.044343334,0.048969045,-0.005632064,0.813982781
1_51_157,0,6662201,82,0.06059657,0.06386173,0.004174304,0.770140046
1_51_158,0,7271998,82,0.08203943,0.071600705,-0.00974332,0.844197504
1_51_159,0,9178407,82,0.08323332,0.08448489,0.00657178,1.109643961
1_51_160,0,9219292,82,0.105428316,0.12022093,-0.002993777,1.234492721
1_51_161,0,1.04E+07,82,0.08471612,0.075310834,-0.01413051,1.224761345
1_51_162,0,1.04E+07,82,0.08471612,0.075310834,-0.01413051,1.224761345
1_51_163,0,9836835,82,0.05802367,0.05730631,0.00178466,1.109660711
1_51_164,0,8921415,82,0.10183814,0.08206424,-0.004534857,1.10253835
1_51_165,0,8038976,82,0.064080976,0.05417384,0.018223768,0.956534264
1_51_166,0,8038976,82,0.064080976,0.05417384,0.018223768,0.956534264
1_51_167,0,6673522,82,0.108716376,0.080722004,0.03798878,0.833400287
1_51_168,0,6087195,82,0.09455524,0.05537605,0.056568604,0.741761613
1_51_169,0,6642679,82,0.10849239,0.07013537,0.054306615,0.82895907
1_51_170,0,7232349,82,0.14098094,0.08020873,0.06370287,0.908823516
1_51_171,0,7232349,82,0.14098094,0.08020873,0.06370287,0.908823516
1_51_172,0,7425235,82,0.108564936,0.062109813,0.051327083,0.911187768
1_51_173,0,6815681,82,0.083190575,0.05408805,0.043822914,0.845577456
1_51_174,0,6964090,82,0.04472844,0.026844855,0.04132963,0.861246564
1_51_175,0,6964090,82,0.04472844,0.026844855,0.04132963,0.861246564
1_51_176,0,7099427,82,0.06179502,0.05070988,0.032560445,0.947152096
1_51_177,0,8698623,82,0.04483056,0.07186335,0.01877671,1.095321149
1_51_178,0,8920475,82,0.03076654,0.052726097,0.014985425,1.043025953
1_51_179,0,7941121,82,0.038766038,0.02618785,0.04541286,0.975003379
1_51_180,0,7941121,82,0.038766038,0.02618785,0.04541286,0.975003379
1_51_181,0,7438038,82,0.028185057,0.028701497,0.031718258,0.965443472
1_51_182,0,6122236,82,-0.002770389,0.032106046,0.027417706,0.774384867
1_51_183,0,5438290,82,-0.032522067,-0.005010792,0.045708247,0.635465028
1_51_184,0,5438290,82,-0.032522067,-0.005010792,0.045708247,0.635465028
1_51_185,0,5286830,82,0.07827037,0.040972825,0.046036683,0.700877855
1_51_186,0,5286830,82,0.07827037,0.040972825,0.046036683,0.700877855
1_51_187,0,5910620,82,0.100357994,0.082430325,0.05385711,0.806545506
1_51_188,0,6409423,82,0.09740232,0.08905989,0.021973591,0.84058071
1_51_189,0,6042626,82,0.06396443,0.05702954,0.014399866,0.728705803
1_51_190,0,6042626,82,0.06396443,0.05702954,0.014399866,0.728705803
1_51_191,0,6199622,82,0.06199876,0.06796677,0.010641243,0.732840801
1_51_192,0,7168395,82,0.08894492,0.078392334,-0.013368667,0.858157243
1_51_193,0,6279790,82,0.059147965,0.05672211,0.003039445,0.737079325
1_51_194,0,6662201,82,0.06059657,0.06386173,0.004174304,0.770140046
1_51_195,0,6662201,82,0.06059657,0.06386173,0.004174304,0.770140046
1_51_196,0,7153803,82,0.07447562,0.073484145,-0.004444514,0.816766024
1_51_197,0,8539707,82,0.057327434,0.08310475,0.013127774,1.03058448
1_51_198,0,9553135,82,0.103865355,0.12280866,-0.013056116,1.244295271
1_51_199,0,9553135,82,0.103865355,0.12280866,-0.013056116,1.244295271
1_51_200,0,1.10E+07,82,0.082484834,0.10041504,-0.021205427,1.265517406
1_51_201,0,9734408,82,0.055763308,0.06234414,0.011447895,1.091541182
1_51_202,0,8628863,82,0.08038728,0.07539173,-0.007233959,1.059137822
1_51_203,0,7875443,82,0.040160615,0.04765043,0.001122035,0.916012667
1_51_204,0,7875443,82,0.040160615,0.04765043,0.001122035,0.916012667
1_51_205,0,6621561,82,0.09557258,0.06524622,0.023098204,0.805584763
1_51_206,0,6074031,82,0.07426469,0.04841563,0.030179115,0.726003896
1_51_207,0,6715387,82,0.09754617,0.06185476,0.042266916,0.820930793
1_51_208,0,6715387,82,0.09754617,0.06185476,0.042266916,0.820930793
1_51_209,0,7338177,82,0.12504186,0.08286989,0.03712963,0.9070572
1_51_210,0,7188590,82,0.079935625,0.05871156,0.024895461,0.872181025
1_51_211,0,6523041,82,0.058883626,0.036470354,0.029916283,0.792151659
1_51_212,0,6838006,82,0.03106393,0.02609316,0.03552407,0.842239343
1_51_213,0,6838006,82,0.03106393,0.02609316,0.03552407,0.842239343
1_51_214,0,7600287,82,0.07255885,0.062269382,0.023768852,1.004170117
1_51_215,0,8321096,82,0.007807413,0.04364976,0.007352669,0.980797592
1_51_216,0,8412896,82,0.027538517,0.033930745,0.02556764,0.993900647
1_51_217,0,7971770,82,0.057236962,0.027402874,0.042027894,1.014484024
1_51_218,0,7971770,82,0.057236962,0.027402874,0.042027894,1.014484024
1_51_219,0,7259665,82,0.005162583,0.012178,0.029892586,0.887494915
1_51_220,0,5872939,82,-0.010336806,0.009331539,0.052691925,0.699998064
1_51_221,0,5352633,82,-0.026796166,-0.009629123,0.047786273,0.632574614
1_51_222,0,5352633,82,-0.026796166,-0.009629123,0.047786273,0.632574614
1_51_223,0,5789495,82,0.08713653,0.055059873,0.041827835,0.756339631
1_51_224,0,5789495,82,0.08713653,0.055059873,0.041827835,0.756339631
1_51_225,0,6727228,82,0.11193967,0.104542375,0.026355162,0.896841754
1_51_226,0,6123986,82,0.07508237,0.0816617,0.013459734,0.797728303
