FID,Shape,Shape_Leng,Shape_Area,RATIO,CONVEX,PERIM,AREA,MAJORITY,SCORE
46,Polygon ZM,873.176914,2.116444,37.7318,0.752073,656.693,3.75187,52,9.354731979
123,Polygon ZM,975.296936,2.289479,40.5207,0.657756,641.507,5.87762,71,13.86796645
164,Polygon ZM,397.731324,1.115766,23.6707,0.789163,313.875,1.50051,71,4.990659376
184,Polygon ZM,524.716305,1.847093,24.2711,0.739954,388.266,2.51089,71,6.311602471
203,Polygon ZM,787.963508,2.559038,30.9654,0.594856,468.725,3.54994,71,12.54544602
217,Polygon ZM,648.42197,1.385227,34.6342,0.704634,456.9,2.88589,52,10.22976512
236,Polygon ZM,386.973845,1.096722,23.2296,0.743288,287.633,1.36609,71,5.963317075
258,Polygon ZM,557.415063,1.32759,30.4127,0.789187,439.905,1.83746,71,6.411392525
264,Polygon ZM,1122.752283,3.138793,39.8392,0.522639,586.794,4.86225,71,19.01768035
271,Polygon ZM,1109.820674,6.002764,28.4764,0.657039,729.196,8.45584,52,9.76629462
278,Polygon ZM,1225.860053,4.135651,37.8946,0.598349,733.492,7.31915,71,15.22040398
295,Polygon ZM,738.28831,1.750632,35.0782,0.613573,452.994,3.27041,52,13.55516359
345,Polygon ZM,708.726665,2.211898,29.9574,0.648095,459.322,3.5775,71,10.54215885
349,Polygon ZM,820.216957,2.385109,33.3874,0.6439,528.138,4.28935,71,11.88925314
351,Polygon ZM,377.600397,1.135039,22.281,0.8001,302.118,1.39475,71,4.4539719
360,Polygon ZM,362.089441,1.096311,21.7399,0.786897,284.927,1.33673,71,4.63283791
361,Polygon ZM,346.769524,1.097142,20.8122,0.817575,283.51,1.35699,71,3.796665585
369,Polygon ZM,483.096018,1.50156,24.784,0.773026,373.446,2.0117,71,5.625323616
377,Polygon ZM,2064.660504,6.135209,52.4013,0.439152,906.7,12.7032,71,29.3891643
379,Polygon ZM,2025.12813,6.929475,48.3627,0.476579,965.133,14.6193,71,25.3140528
391,Polygon ZM,386.909536,1.211745,22.0959,0.80104,309.93,1.52911,71,4.396200264
417,Polygon ZM,651.558386,2.365764,26.6303,0.728318,474.542,3.67367,71,7.234973165
418,Polygon ZM,550.928635,1.481287,28.4567,0.690726,380.541,2.20269,71,8.800917436
429,Polygon ZM,438.159992,1.232063,24.8156,0.715768,313.621,1.67484,71,7.053387619
437,Polygon ZM,1008.959179,3.962062,31.8655,0.644958,650.736,6.02004,71,11.31359085
442,Polygon ZM,1573.984585,7.867717,35.2764,0.584431,919.885,12.9269,71,14.65977827
449,Polygon ZM,544.745547,1.096259,32.7074,0.684097,372.659,2.25983,71,10.33236578
455,Polygon ZM,524.667494,1.134981,30.9598,0.696906,365.644,1.76018,71,9.383729621
456,Polygon ZM,1720.972985,6.885931,41.2288,0.507923,874.122,12.7909,71,20.28774422
470,Polygon ZM,504.548289,1.327444,27.5298,0.658165,332.076,1.94307,71,9.410649183
478,Polygon ZM,335.849855,1.115578,19.9896,0.81278,272.972,1.32715,71,3.742452912
479,Polygon ZM,1260.090229,3.580034,41.8665,0.492489,620.581,5.85125,71,21.24770928
501,Polygon ZM,676.783092,2.426846,27.311,0.657388,444.909,3.30321,71,9.357076332
514,Polygon ZM,662.41597,1.943038,29.8744,0.665674,440.953,2.91456,71,9.987788654
547,Polygon ZM,809.910119,2.137699,34.8235,0.607064,491.667,3.84208,71,13.6834068
573,Polygon ZM,2309.229574,11.771104,42.3123,0.52925,1222.16,21.6477,71,19.91851523
