system:index,Class,NDVI,NDVI_variance
1_1_9_0,2,0.7220004,0.020982747
1_1_9_1,2,0.682069,0.017191265
1_1_9_2,2,0.71565634,0.021085118
1_1_9_3,2,0.7079845,0.019533933
1_1_9_4,2,0.64498055,0.014125039
1_1_9_5,2,0.6791917,0.016421659
1_1_9_6,2,0.6791917,0.016421659
1_1_9_7,2,0.68977404,0.017099429
1_1_9_8,2,0.7461652,0.0206785
1_1_9_9,2,0.7383624,0.019446736
1_1_9_10,2,0.73793024,0.021341171
1_1_9_11,2,0.73793024,0.021341171
1_1_9_12,2,0.7342441,0.019795446
1_1_9_13,2,0.68567544,0.018317021
1_1_9_14,2,0.6411439,0.014557472
1_1_9_15,2,0.6826034,0.017456267
1_1_9_16,2,0.6826034,0.017456267
1_1_9_17,2,0.73268634,0.021943611
1_1_9_18,2,0.7217674,0.022149746
1_1_9_19,2,0.70030284,0.018182318
1_1_9_20,2,0.68156224,0.014822052
1_1_9_21,2,0.68156224,0.014822052
1_1_9_22,2,0.6543192,0.018551792
1_1_9_23,2,0.6119403,0.01783749
1_1_9_24,2,0.6883674,0.015525868
1_1_9_25,2,0.6948296,0.017593815
1_1_9_26,2,0.6948296,0.017593815
1_1_9_27,2,0.6805507,0.016889619
1_1_9_28,2,0.67028445,0.017178385
1_1_9_29,2,0.6682914,0.018639318
1_1_9_30,2,0.6759951,0.019180336
1_1_9_31,2,0.6759951,0.019180336
1_1_9_32,2,0.7064764,0.022282194
1_1_9_33,2,0.6947469,0.021190559
1_1_9_34,2,0.66176474,0.017218267
1_1_9_35,2,0.6633736,0.016387773
1_1_9_36,2,0.6633736,0.016387773
1_1_9_37,2,0.67158806,0.020559896
1_1_9_38,2,0.6368075,0.019636618
1_1_9_39,2,0.63864255,0.0205724
1_1_9_40,2,0.69809544,0.02301277
1_1_9_41,2,0.69809544,0.02301277
1_1_9_42,2,0.70272183,0.024218783
1_1_9_43,2,0.67099804,0.017793764
1_1_9_44,2,0.6798951,0.015961012
1_1_9_45,2,0.6899725,0.016795363
1_1_9_46,2,0.69564915,0.018482461
1_1_9_47,2,0.69564915,0.018482461
1_1_9_48,2,0.68578273,0.016184494
1_1_9_49,2,0.66999865,0.015268442
1_1_9_50,2,0.6623682,0.01772983
1_1_9_51,2,0.6647059,0.018120487
1_1_9_52,2,0.6647059,0.018120487
1_1_9_53,2,0.6734862,0.018788775
1_1_9_54,2,0.66629815,0.018097809
1_1_9_55,2,0.64541376,0.015638803
1_1_9_56,2,0.6603747,0.016735478
1_1_9_57,2,0.6603747,0.016735478
1_1_9_58,2,0.67526096,0.020038254
1_1_9_59,2,0.6461484,0.019100372
1_1_9_60,2,0.64387405,0.019435809
1_1_9_61,2,0.67618924,0.019968576
1_1_9_62,2,0.67618924,0.019968576
1_1_9_63,2,0.6954098,0.023205211
1_1_9_64,2,0.68417466,0.02270541
1_1_9_65,2,0.68379235,0.018574426
1_1_9_66,2,0.69351536,0.015861364
1_1_9_67,2,0.69610584,0.017747941
1_1_9_68,2,0.6973894,0.020305179
1_1_9_69,2,0.6973894,0.020305179
1_1_9_70,2,0.70406836,0.018951959
1_1_9_71,2,0.6869143,0.01547898
1_1_9_72,2,0.67443144,0.015652948
1_1_9_73,2,0.66279644,0.016131596
1_1_9_74,2,0.66279644,0.016131596
1_1_9_75,2,0.66498893,0.018937233
1_1_9_76,2,0.671703,0.018497108
1_1_9_77,2,0.66286457,0.016699074
1_1_9_78,2,0.6697047,0.01753094
1_1_9_79,2,0.6697047,0.019703008
1_1_9_80,2,0.68910384,0.01878726
1_1_9_81,2,0.6704336,0.019524024
1_1_9_82,2,0.66069907,0.01969786
1_1_9_83,2,0.6890388,0.022598402
1_1_9_84,2,0.6890388,0.022598402
1_1_9_85,2,0.7240453,0.027641507
1_1_9_86,2,0.6699424,0.02194084
1_1_9_87,2,0.6699424,0.02194084
1_1_9_88,2,0.6829318,0.019551305
1_1_9_89,2,0.69178265,0.01718359
1_1_9_90,2,0.69614387,0.018965788
1_1_9_91,2,0.70761096,0.022390661
1_1_9_92,2,0.70761096,0.022390661
1_1_9_93,2,0.71784234,0.024445731
1_1_9_94,2,0.70323086,0.016770404
1_1_9_95,2,0.6949508,0.014361158
1_1_9_96,2,0.6694171,0.014404622
1_1_9_97,2,0.6694171,0.014404622
1_1_9_98,2,0.66783845,0.016519158
1_1_9_99,2,0.665258,0.015542672
1_1_9_100,2,0.6521798,0.014309815
1_1_9_101,2,0.6675772,0.016271569
