,N1,N0,NEG,,P1,P0,POS,cv,rcv,ndvi,ndsi
neg0000,245,22472,0.989215125,pos0000,2681,544,0.831317829,0.75,0.75,0.25,0.75
neg0100,245,22472,0.989215125,pos0100,2674,551,0.829147287,0.75,1,0.25,0.75
neg1000,233,22484,0.989743364,pos1000,2668,557,0.827286822,1,0.75,0.25,0.75
neg1100,233,22484,0.989743364,pos1100,2661,564,0.825116279,1,1,0.25,0.75
neg0200,241,22476,0.989391205,pos0200,2654,571,0.822945736,0.75,1.5,0.25,0.75
neg2000,184,22533,0.991900339,pos2000,2644,581,0.819844961,1.5,0.75,0.25,0.75
neg1200,229,22488,0.989919444,pos1200,2642,583,0.819224806,1,1.5,0.25,0.75
neg2100,184,22533,0.991900339,pos2100,2637,588,0.817674419,1.5,1,0.25,0.75
neg0000,163,22554,0.992824757,pos0000,2621,604,0.812713178,0.75,0.75,0.25,0.75
neg2200,184,22533,0.991900339,pos2200,2619,606,0.812093023,1.5,1.5,0.25,1
neg0100,163,22554,0.992824757,pos0100,2614,611,0.810542636,0.75,1,0.25,1
neg1000,151,22566,0.993352996,pos1000,2610,615,0.809302326,1,0.75,0.25,1
neg1100,151,22566,0.993352996,pos1100,2603,622,0.807131783,1,1,0.25,1
neg0200,161,22556,0.992912797,pos0200,2595,630,0.804651163,0.75,1.5,0.25,1
neg2000,126,22591,0.994453493,pos2000,2590,635,0.803100775,1.5,0.75,0.25,1
neg1200,149,22568,0.993441035,pos1200,2584,641,0.80124031,1,1.5,0.25,1
neg2100,126,22591,0.994453493,pos2100,2583,642,0.800930233,1.5,1,0.25,1
neg2200,126,22591,0.994453493,pos2200,2565,660,0.795348837,1.5,1.5,0.25,1
neg0000,72,22645,0.996830567,pos0000,2533,692,0.785426357,2,2,0.25,0.75
neg0001,48,22669,0.997887045,pos0001,2485,740,0.770542636,2,2,0.25,1
neg1000,29,22688,0.998723423,pos1000,2479,746,0.768682171,2.5,2,0.25,0.75
neg0001,40,22677,0.998239204,pos0001,2469,756,0.765581395,0.75,0.75,0.25,1.5
neg0101,40,22677,0.998239204,pos0101,2462,763,0.763410853,0.75,1,0.25,1.5
neg1001,36,22681,0.998415284,pos1001,2460,765,0.762790698,1,0.75,0.25,1.5
neg1101,36,22681,0.998415284,pos1101,2453,772,0.760620155,1,1,0.25,1.5
neg0100,57,22660,0.997490866,pos0100,2453,772,0.760620155,2,2.5,0.25,0.75
neg0201,40,22677,0.998239204,pos0201,2444,781,0.757829457,0.75,1.5,0.25,1.5
neg2001,28,22689,0.998767443,pos2001,2443,782,0.75751938,1.5,0.75,0.25,1.5
neg1001,25,22692,0.998899503,pos1001,2437,788,0.755658915,2.5,2,0.25,1
neg2101,28,22689,0.998767443,pos2101,2436,789,0.755348837,1.5,1,0.25,1.5
neg1201,36,22681,0.998415284,pos1201,2435,790,0.75503876,1,1.5,0.25,1.5
neg2201,28,22689,0.998767443,pos2201,2418,807,0.749767442,1.5,1.5,0.25,1.5
neg0101,43,22674,0.998107144,pos0101,2409,816,0.746976744,2,2.5,0.25,1
neg1100,29,22688,0.998723423,pos1100,2404,821,0.745426357,2.5,2.5,0.25,0.75
neg1101,25,22692,0.998899503,pos1101,2365,860,0.733333333,2.5,2.5,0.25,1
neg0002,15,22702,0.999339702,pos0002,2353,872,0.729612403,2,2,0.25,1.5
neg1002,14,22703,0.999383721,pos1002,2310,915,0.71627907,2.5,2,0.25,1.5
neg0102,15,22702,0.999339702,pos0102,2279,946,0.706666667,2,2.5,0.25,1.5
neg1102,14,22703,0.999383721,pos1102,2240,985,0.694573643,2.5,2.5,0.25,1.5
neg0002,24,22693,0.998943522,pos0002,2216,1009,0.687131783,0.75,0.75,0.25,2
neg1002,24,22693,0.998943522,pos1002,2213,1012,0.68620155,1,0.75,0.25,2
neg0102,24,22693,0.998943522,pos0102,2209,1016,0.68496124,0.75,1,0.25,2
neg1102,24,22693,0.998943522,pos1102,2206,1019,0.684031008,1,1,0.25,2
neg2002,17,22700,0.999251662,pos2002,2198,1027,0.681550388,1.5,0.75,0.25,2
neg2102,17,22700,0.999251662,pos2102,2191,1034,0.679379845,1.5,1,0.25,2
neg0202,24,22693,0.998943522,pos0202,2191,1034,0.679379845,0.75,1.5,0.25,2
neg1202,24,22693,0.998943522,pos1202,2188,1037,0.678449612,1,1.5,0.25,2
neg2202,17,22700,0.999251662,pos2202,2173,1052,0.67379845,1.5,1.5,0.25,2
neg0000,166,22551,0.992692697,pos0000,1845,1380,0.572093023,0.75,0.75,0.5,0.75
neg0100,166,22551,0.992692697,pos0100,1845,1380,0.572093023,0.75,1,0.5,0.75
neg1000,156,22561,0.993132896,pos1000,1838,1387,0.569922481,1,0.75,0.5,0.75
neg1100,156,22561,0.993132896,pos1100,1838,1387,0.569922481,1,1,0.5,0.75
neg0200,164,22553,0.992780737,pos0200,1835,1390,0.568992248,0.75,1.5,0.5,0.75
neg1200,154,22563,0.993220936,pos1200,1829,1396,0.567131783,1,1.5,0.5,0.75
neg2000,135,22582,0.994057314,pos2000,1820,1405,0.564341085,1.5,0.75,0.5,0.75
neg2100,135,22582,0.994057314,pos2100,1820,1405,0.564341085,1.5,1,0.5,0.75
neg2200,135,22582,0.994057314,pos2200,1811,1414,0.561550388,1.5,1.5,0.5,0.75
neg0000,109,22608,0.995201831,pos0000,1809,1416,0.560930233,0.75,0.75,0.5,1
neg0100,109,22608,0.995201831,pos0100,1809,1416,0.560930233,0.75,1,0.5,1
neg1000,99,22618,0.99564203,pos1000,1804,1421,0.559379845,1,0.75,0.5,1
