ID,Index,cv,mode,nbr,ndsi,ndvi,rcvmax
1_57_0,0,2772167,82,-0.24587391,-0.048331693,-0.17319629,0.300514119
1_57_1,0,2772167,82,-0.24587391,-0.048331693,-0.17319629,0.300514119
1_57_2,0,3116938,82,-0.26249075,-0.012781641,-0.23344034,0.396278486
1_57_3,0,4161020,82,-0.35660225,-0.03549121,-0.2628346,0.554224677
1_57_4,0,4109897,82,-0.37487566,-0.05553136,-0.26980564,0.532600978
1_57_5,0,3936400,82,-0.41439897,-0.10043844,-0.27460092,0.53639653
1_57_6,0,4167974,82,-0.45538703,-0.114304736,-0.28056028,0.519889619
1_57_7,0,4167974,82,-0.45538703,-0.114304736,-0.28056028,0.519889619
1_57_8,0,3308196,82,-0.43427232,-0.11012391,-0.291946,0.453883145
1_57_9,0,2979933,82,-0.41500014,-0.10926762,-0.25078,0.415527765
1_57_10,0,2930711,82,-0.29647318,-0.06435826,-0.20400736,0.339941443
1_57_11,0,2930711,82,-0.29647318,-0.06435826,-0.20400736,0.339941443
1_57_12,0,3250828,82,-0.3029023,-0.015556723,-0.24830636,0.442446789
1_57_13,0,3163246,82,-0.34469914,-0.013869185,-0.27469257,0.532833777
1_57_14,0,3510948,82,-0.42008734,-0.047715664,-0.3081692,0.513002678
1_57_15,0,2728017,82,-0.41301602,-0.012285472,-0.32183227,0.383523939
1_57_16,0,2922116,82,-0.45770273,-0.027751079,-0.33468205,0.383633865
1_57_17,0,2922116,82,-0.45770273,-0.027751079,-0.33468205,0.383633865
1_57_18,0,3058667,82,-0.47477633,-0.04217098,-0.36626086,0.409073069
1_57_19,0,2968438,82,-0.4565014,-0.028743437,-0.38642457,0.440476367
1_57_20,0,1820227,82,-0.34285578,-0.037924312,-0.23420414,0.264048276
1_57_21,0,2974486,82,-0.30932805,-0.039536554,-0.20509967,0.359083771
1_57_22,0,2974486,82,-0.30932805,-0.039536554,-0.20509967,0.359083771
1_57_23,0,3244592,82,-0.3373238,-0.035269108,-0.24704103,0.410156353
1_57_24,0,3669598,82,-0.4224715,-0.026581734,-0.3232877,0.541384224
1_57_25,0,4776210,82,-0.52118903,-0.045414835,-0.4136104,0.618713009
1_57_26,0,3448913,82,-0.4982032,-0.031552743,-0.4073043,0.461786622
1_57_27,0,3207197,82,-0.53049034,-0.06326615,-0.3790406,0.423624388
1_57_28,0,3207197,82,-0.53049034,-0.06326615,-0.3790406,0.423624388
1_57_29,0,2925435,82,-0.5176982,-0.082639046,-0.35901678,0.40364287
1_57_30,0,3147465,82,-0.4996451,-0.04860147,-0.39945287,0.438163773
1_57_31,0,2300285,82,-0.3808779,-0.028750896,-0.3074368,0.336114175
1_57_32,0,2181755,82,-0.28766295,-0.05392997,-0.18834025,0.27119452
1_57_33,0,2085812,82,-0.31634352,-0.019442275,-0.22035258,0.316894451
1_57_34,0,2772638,82,-0.38557148,-0.031920586,-0.2895694,0.369606043
1_57_35,0,3029766,82,-0.39413595,0.03866551,-0.4036479,0.388664397
1_57_36,0,3085596,82,-0.43827862,0.01237842,-0.43540415,0.406227339
1_57_37,0,2168267,82,-0.20601901,0.17968482,-0.39453575,0.339374062
1_57_38,0,1631687,82,-0.19084546,0.16363907,-0.351772,0.282915682
1_57_39,0,1631687,82,-0.19084546,0.16363907,-0.351772,0.282915682
1_57_40,0,1845284,82,-0.38997966,-0.006043067,-0.33207065,0.265715251
1_57_41,0,1935556,82,-0.36497277,0.01628352,-0.37280035,0.290184636
1_57_42,0,1840754,82,-0.37293,-0.02650939,-0.2969549,0.318726157
1_57_43,0,2261707,82,-0.307067,-0.04440964,-0.18938343,0.277680913
1_57_44,0,2580751,82,-0.37307954,-0.033714447,-0.26180932,0.338851501
1_57_45,0,4030718,82,-0.48167405,-0.034591097,-0.38923725,0.473318667
1_57_46,0,3145671,82,-0.44564426,0.00315807,-0.40655106,0.374939386
1_57_47,0,2068968,82,-0.37715757,0.060247574,-0.38254026,0.36373104
1_57_48,0,1455261,82,-0.099791795,0.26685658,-0.35755965,0.377961936
1_57_49,0,1455261,82,-0.099791795,0.26685658,-0.35755965,0.377961936
1_57_50,0,1334582,82,-0.111195326,0.24729162,-0.34526163,0.333687388
1_57_51,0,1665406,82,-0.36230487,0.038801093,-0.338959,0.263035943
1_57_52,0,1985130,82,-0.39278585,2.10E-04,-0.35015622,0.27855929
1_57_53,0,1814607,82,-0.38657242,-0.03632423,-0.30357003,0.315400748
1_57_54,0,2380868,82,-0.33761707,-0.03566934,-0.21307798,0.333665867
1_57_55,0,2272043,82,-0.3568646,0.02643401,-0.31540275,0.328278899
