FID,Shape,Shape_Leng,Shape_Area,RATIO,CONVEX,PERIM,AREA,MAJORITY,SCORE
9,Polygon ZM,384.889679,1.139149,22.6702,0.826832,318.239,1.41376,52,3.925753194
10,Polygon ZM,319.323687,0.630609,25.279,0.811008,258.974,0.82386,52,4.777528768
17,Polygon ZM,381.163423,1.383019,20.3754,0.834597,318.118,1.67793,71,3.370152286
22,Polygon ZM,257.218313,0.579025,21.2501,0.793419,204.082,0.703101,52,4.389866908
26,Polygon ZM,377.656425,1.862898,17.3945,0.928524,350.663,1.97674,52,1.243289282
30,Polygon ZM,474.202777,2.128743,20.432,0.788833,374.067,2.50076,52,4.314564144
31,Polygon ZM,307.209407,1.012712,19.1911,0.861989,264.811,1.15739,52,2.648582902
33,Polygon ZM,457.493065,2.397147,18.5757,0.83638,382.638,2.63479,52,3.039356034
38,Polygon ZM,658.695429,5.491047,17.6712,0.874463,576.005,5.8433,52,2.218389434
95,Polygon ZM,237.850553,0.416008,23.1826,0.824295,196.059,0.551211,31,4.073298733
97,Polygon ZM,110.483162,0.103921,21.5453,0.80656,89.1113,0.14549,52,4.167722832
98,Polygon ZM,603.377745,3.415178,20.5254,0.776076,468.267,3.7796,52,4.59612967
99,Polygon ZM,548.069594,2.91844,20.1683,0.830329,455.078,3.46694,52,3.421975629
105,Polygon ZM,347.590573,1.138642,20.4778,0.765613,266.12,1.28356,52,4.799730109
127,Polygon ZM,200.039042,0.3296,21.9043,0.804388,160.909,0.412,52,4.284743932
196,Polygon ZM,220.109404,0.391444,22.1163,0.791961,174.318,0.515058,71,4.601052936
248,Polygon ZM,110.242017,0.103409,21.5514,0.806693,88.9315,0.144773,71,4.16603648
256,Polygon ZM,691.83123,3.933253,21.9297,0.783211,541.85,5.07183,52,4.754117733
257,Polygon ZM,588.192767,3.394895,20.0685,0.800369,470.771,3.85031,52,4.006294724
260,Polygon ZM,494.614872,2.33909,20.3307,0.777174,384.402,2.71169,52,4.530208558
271,Polygon ZM,147.175159,0.124446,26.2272,0.818705,120.493,0.19704,52,4.754860224
284,Polygon ZM,220.765605,0.290383,25.7546,0.806616,178.073,0.414833,52,4.980527566
303,Polygon ZM,531.416421,2.546501,20.9349,0.766986,407.589,2.97092,52,4.878124789
