system:index,NDVI,NDVI_count,NDVI_disp,confidence,cropland,cultivated_land
0,0.554408014,13,0.022878199,90,176,1
1,0.554364264,4,0.021368773,100,176,1
2,0.668791711,16,0.046940323,91,24,2
3,0.576682448,8,0.017054278,90,176,1
4,0.735027611,4,0.240419824,94,24,2
7,0.420704067,4,0.035075787,100,176,1
8,0.484556109,6,0.034945454,100,176,1
10,0.560298681,15,0.027439724,94,176,1
11,0.413423002,13,0.005964767,100,176,1
12,0.506481767,15,0.055613409,91,24,2
18,0.550691247,13,0.062541684,92,176,1
19,0.547496915,6,0.012513124,100,176,1
21,0.788568497,7,0.229701552,100,4,2
22,0.522624731,13,0.012414496,92,176,1
23,0.546167314,4,2.74E-05,93,121,1
26,0.297065794,4,0.008598307,100,176,1
29,0.515779853,19,0.020132225,100,24,2
30,0.534361601,18,0.020956809,100,176,1
31,0.839922011,5,0.086276881,93,1,2
32,0.437345266,18,0.00973983,94,176,1
33,0.604093552,6,0.018457262,100,176,1
36,0.504825056,6,0.029901975,100,176,1
40,0.781267881,6,0.228591042,100,1,2
42,0.656747937,4,0.096172247,100,176,1
44,0.471378058,11,0.030831364,100,176,1
45,0.467118353,19,0.043763571,95,176,1
46,0.455309391,9,0.04269129,100,176,1
47,0.299314201,5,4.81E-04,100,61,2
48,0.190032765,10,3.57E-04,100,61,2
50,0.634556353,5,0.158291361,100,24,2
53,0.390749782,13,0.015890908,92,176,1
56,0.60299933,9,0.049281819,100,176,1
59,0.402069896,11,0.022227972,96,176,1
60,0.789203882,11,0.114399637,100,24,2
61,0.389336467,4,0.022523505,94,176,1
63,0.196092412,6,7.90E-04,100,61,2
65,0.83718127,11,0.131474285,100,1,2
66,0.784738123,9,0.192719821,100,1,2
67,0.806040227,18,0.187373745,92,1,2
68,0.304347843,8,0.006981565,100,61,2
72,0.531432629,11,0.031445215,100,176,1
75,0.681033492,5,0.117406675,100,24,2
77,0.803270042,10,0.118118015,100,24,2
82,0.552500188,4,0.032246253,100,176,1
84,0.53106463,15,0.034457394,100,176,1
85,0.722962022,14,0.068392354,100,24,2
87,0.526971817,4,0.048895409,95,176,1
92,0.413392365,4,0.034136624,100,152,1
93,0.629614234,6,0.043957617,100,176,1
95,0.622413337,5,0.031573104,94,176,1
96,0.816531301,14,0.248067532,94,1,2
97,0.504097402,5,9.31E-04,90,121,1
98,0.416964442,8,0.012601062,92,176,1
99,0.409690559,11,0.026531163,100,176,1
100,0.606538057,10,0.032812214,100,176,1
101,0.2601026,9,0.00318208,100,61,2
103,0.657621622,5,0.125797585,94,4,2
104,0.4227148,20,0.024094777,93,152,1
